,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,highway-L/100km,city-L/100km,normalized-height,normalized-width,normalized-length,horsepower-binned,price-binned
18,0,81.0,chevrolet,gas,std,four,sedan,fwd,front,94.5,158.8,63.6,52.0,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,38,43,6575.0,5.465116279069767,6.184210526315789,0.8695652173913044,0.8833333333333333,0.7630946660259491,Low,Low
19,1,118.0,dodge,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68.0,5500.0,37,41,5572.0,5.7317073170731705,6.351351351351352,0.8494983277591973,0.8861111111111111,0.7558865929841423,Low,Low
20,1,118.0,dodge,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6377.0,6.184210526315789,7.580645161290323,0.8494983277591973,0.8861111111111111,0.7558865929841423,Low,Low
21,1,118.0,dodge,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,24,30,7957.0,7.833333333333333,9.791666666666666,0.8494983277591973,0.8861111111111111,0.7558865929841423,Low,Low
22,1,148.0,dodge,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6229.0,6.184210526315789,7.580645161290323,0.8461538461538463,0.8861111111111111,0.7558865929841423,Low,Low
23,1,148.0,dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6692.0,6.184210526315789,7.580645161290323,0.8461538461538463,0.8861111111111111,0.7558865929841423,Low,Low
24,1,148.0,dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,7609.0,6.184210526315789,7.580645161290323,0.8461538461538463,0.8861111111111111,0.7558865929841423,Low,Low
25,1,148.0,dodge,gas,turbo,four,sedan,fwd,front,93.7,157.3,63.8,50.6,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,24,30,8558.0,7.833333333333333,9.791666666666666,0.8461538461538463,0.8861111111111111,0.7558865929841423,Low,Low
26,-1,110.0,dodge,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88.0,5000.0,24,30,8921.0,7.833333333333333,9.791666666666666,1.0,0.8972222222222221,0.8390197020663143,Low,Low
27,3,145.0,dodge,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,ohc,four,156,mfi,3.6,3.9,7.0,145.0,5000.0,19,24,12964.0,9.791666666666666,12.368421052631579,0.8394648829431439,0.9208333333333333,0.8322921672272945,Medium,Low
28,2,137.0,honda,gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58.0,4800.0,49,54,6479.0,4.351851851851852,4.795918367346939,0.8494983277591973,0.8875,0.6948582412301778,Low,Low
29,2,137.0,honda,gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,31,38,6855.0,6.184210526315789,7.580645161290323,0.8494983277591973,0.8875,0.6948582412301778,Low,Low
30,1,101.0,honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60.0,5500.0,38,42,5399.0,5.595238095238095,6.184210526315789,0.8795986622073579,0.8888888888888888,0.7208073041806824,Low,Low
31,1,101.0,honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34,6529.0,6.911764705882353,7.833333333333333,0.8795986622073579,0.8888888888888888,0.7208073041806824,Low,Low
32,1,101.0,honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34,7129.0,6.911764705882353,7.833333333333333,0.8795986622073579,0.8888888888888888,0.7208073041806824,Low,Low
33,0,110.0,honda,gas,std,four,sedan,fwd,front,96.5,163.4,64.0,54.5,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34,7295.0,6.911764705882353,7.833333333333333,0.911371237458194,0.8888888888888888,0.7851994233541567,Low,Low
34,0,78.0,honda,gas,std,four,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76.0,6000.0,30,34,7295.0,6.911764705882353,7.833333333333333,0.9749163879598662,0.8875,0.754925516578568,Low,Low
35,0,106.0,honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,7895.0,7.121212121212121,8.703703703703704,0.8913043478260869,0.9055555555555556,0.8049014896684287,Low,Low
36,0,106.0,honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,9095.0,7.121212121212121,8.703703703703704,0.8913043478260869,0.9055555555555556,0.8049014896684287,Low,Low
37,0,85.0,honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,8845.0,7.121212121212121,8.703703703703704,0.9046822742474917,0.9055555555555556,0.8428640076886112,Low,Low
38,0,85.0,honda,gas,std,four,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,10295.0,7.121212121212121,8.703703703703704,0.9046822742474917,0.8680555555555556,0.8428640076886112,Low,Low
39,0,85.0,honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101.0,5800.0,24,28,12945.0,8.392857142857142,9.791666666666666,0.9046822742474917,0.9055555555555556,0.8428640076886112,Low,Low
40,1,107.0,honda,gas,std,two,sedan,fwd,front,96.5,169.1,66.0,51.0,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100.0,5500.0,25,31,10345.0,7.580645161290323,9.4,0.8528428093645485,0.9166666666666666,0.8125901009130225,Low,Low
41,0,122.0,isuzu,gas,std,four,sedan,rwd,front,94.3,170.7,61.8,53.5,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78.0,4800.0,24,29,6785.0,8.10344827586207,9.791666666666666,0.8946488294314382,0.8583333333333333,0.8202787121576165,Low,Low
42,2,122.0,isuzu,gas,std,two,hatchback,rwd,front,96.0,172.6,65.2,51.4,2734,ohc,four,119,spfi,3.43,3.23,9.2,90.0,5000.0,24,29,11048.0,8.10344827586207,9.791666666666666,0.8595317725752508,0.9055555555555556,0.8294089380105718,Low,Low
43,0,145.0,jaguar,gas,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,15,19,32250.0,12.368421052631579,15.666666666666666,0.882943143812709,0.9666666666666666,0.9591542527630946,Medium,High
44,0,122.0,jaguar,gas,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,15,19,35550.0,12.368421052631579,15.666666666666666,0.882943143812709,0.9666666666666666,0.9591542527630946,Medium,High
45,0,122.0,jaguar,gas,std,two,sedan,rwd,front,102.0,191.7,70.6,47.8,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262.0,5000.0,13,17,36000.0,13.823529411764707,18.076923076923077,0.7993311036789298,0.9805555555555555,0.921191734742912,High,High
46,1,104.0,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,30,31,5195.0,7.580645161290323,7.833333333333333,0.9046822742474917,0.8916666666666667,0.7645362806343105,Low,Low
47,1,104.0,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6095.0,6.184210526315789,7.580645161290323,0.9046822742474917,0.8916666666666667,0.7645362806343105,Low,Low
48,1,104.0,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6795.0,6.184210526315789,7.580645161290323,0.9046822742474917,0.8916666666666667,0.7645362806343105,Low,Low
49,1,113.0,mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6695.0,6.184210526315789,7.580645161290323,0.9046822742474917,0.8916666666666667,0.8015377222489188,Low,Low
50,1,113.0,mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68.0,5000.0,31,38,7395.0,6.184210526315789,7.580645161290323,0.9046822742474917,0.8916666666666667,0.8015377222489188,Low,Low
51,3,150.0,mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,rotor,two,70,4bbl,3.3300000000000005,3.2598469387755036,9.4,101.0,6000.0,17,23,10945.0,10.217391304347826,13.823529411764707,0.8294314381270904,0.9125000000000001,0.8121095627102355,Low,Low
52,3,150.0,mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,rotor,two,70,4bbl,3.3300000000000005,3.2598469387755036,9.4,101.0,6000.0,17,23,11845.0,10.217391304347826,13.823529411764707,0.8294314381270904,0.9125000000000001,0.8121095627102355,Low,Low
53,3,150.0,mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2385,rotor,two,70,4bbl,3.3300000000000005,3.2598469387755036,9.4,101.0,6000.0,17,23,13645.0,10.217391304347826,13.823529411764707,0.8294314381270904,0.9125000000000001,0.8121095627102355,Low,Low
54,3,150.0,mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2500,rotor,two,80,mpfi,3.3300000000000005,3.2598469387755036,9.4,135.0,6000.0,16,23,15645.0,10.217391304347826,14.6875,0.8294314381270904,0.9125000000000001,0.8121095627102355,Medium,Low
55,1,129.0,mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,8845.0,7.34375,9.038461538461538,0.8979933110367894,0.9236111111111112,0.8543969245555022,Low,Low
56,0,115.0,mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,8495.0,7.34375,9.038461538461538,0.9280936454849499,0.9236111111111112,0.8543969245555022,Low,Low
57,1,129.0,mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,10595.0,7.34375,9.038461538461538,0.8979933110367894,0.9236111111111112,0.8543969245555022,Low,Low
58,0,115.0,mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,10245.0,7.34375,9.038461538461538,0.9280936454849499,0.9236111111111112,0.8543969245555022,Low,Low
59,0,122.0,mazda,diesel,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2443,ohc,four,122,idi,3.39,3.39,22.7,64.0,4650.0,36,42,10795.0,5.595238095238095,6.527777777777778,0.9280936454849499,0.9236111111111112,0.8543969245555022,Low,Low
60,0,115.0,mazda,gas,std,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,11245.0,7.34375,9.038461538461538,0.9280936454849499,0.9236111111111112,0.8543969245555022,Low,Low
61,0,118.0,mazda,gas,std,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120.0,5000.0,19,27,18280.0,8.703703703703704,12.368421052631579,0.9096989966555185,0.9180555555555555,0.8409418548774628,Medium,Low
62,0,122.0,mazda,diesel,std,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2700,ohc,four,134,idi,3.43,3.64,22.0,72.0,4200.0,31,39,18344.0,6.0256410256410255,7.580645161290323,0.9096989966555185,0.9180555555555555,0.8409418548774628,Low,Low
63,-1,93.0,mercedes-benz,diesel,turbo,four,sedan,rwd,front,110.0,190.9,70.3,56.5,3515,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,25552.0,9.4,10.681818181818182,0.9448160535117057,0.9763888888888889,0.9173474291206152,Medium,Medium
64,-1,93.0,mercedes-benz,diesel,turbo,four,wagon,rwd,front,110.0,190.9,70.3,58.7,3750,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,28248.0,9.4,10.681818181818182,0.9816053511705687,0.9763888888888889,0.9173474291206152,Medium,Medium
65,0,93.0,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,28176.0,9.4,10.681818181818182,0.9180602006688964,0.9763888888888889,0.9010091302258529,Medium,Medium
66,-1,93.0,mercedes-benz,diesel,turbo,four,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,31600.0,9.4,10.681818181818182,0.9414715719063546,0.9958333333333333,0.9735703988467083,Medium,Medium
67,-1,122.0,mercedes-benz,gas,std,four,sedan,rwd,front,115.6,202.6,71.7,56.5,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,16,18,34184.0,13.055555555555555,14.6875,0.9448160535117057,0.9958333333333333,0.9735703988467083,Medium,High
68,3,142.0,mercedes-benz,gas,std,two,convertible,rwd,front,96.6,180.3,70.5,50.8,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,16,18,35056.0,13.055555555555555,14.6875,0.8494983277591973,0.9791666666666666,0.8664103796251803,Medium,High
69,0,122.0,mercedes-benz,gas,std,four,sedan,rwd,front,120.9,208.1,71.7,56.7,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184.0,4500.0,14,16,40960.0,14.6875,16.785714285714285,0.948160535117057,0.9958333333333333,1.0,Medium,High
70,1,122.0,mercedes-benz,gas,std,two,hardtop,rwd,front,112.0,199.2,72.0,55.4,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,184.0,4500.0,14,16,45400.0,14.6875,16.785714285714285,0.9264214046822743,1.0,0.9572320999519461,Medium,High
71,1,122.0,mercury,gas,turbo,two,hatchback,rwd,front,102.7,178.4,68.0,54.8,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175.0,5000.0,19,24,16503.0,9.791666666666666,12.368421052631579,0.9163879598662207,0.9444444444444444,0.857280153772225,Medium,Low
72,2,161.0,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,37,41,5389.0,5.7317073170731705,6.351351351351352,0.8494983277591973,0.8944444444444445,0.7558865929841423,Low,Low
73,2,161.0,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6189.0,6.184210526315789,7.580645161290323,0.8494983277591973,0.8944444444444445,0.7558865929841423,Low,Low
74,2,161.0,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6669.0,6.184210526315789,7.580645161290323,0.8494983277591973,0.8944444444444445,0.7558865929841423,Low,Low
75,1,161.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,93.0,157.3,63.8,50.8,2145,ohc,four,98,spdi,3.03,3.39,7.6,102.0,5500.0,24,30,7689.0,7.833333333333333,9.791666666666666,0.8494983277591973,0.8861111111111111,0.7558865929841423,Low,Low
76,3,153.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2370,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9959.0,7.833333333333333,10.217391304347826,0.8260869565217391,0.9083333333333334,0.8313310908217203,Low,Low
77,3,153.0,mitsubishi,gas,std,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32,8499.0,7.34375,9.4,0.8260869565217391,0.9083333333333334,0.8313310908217203,Low,Low
78,3,122.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833,ohc,four,156,spdi,3.58,3.86,7.0,145.0,5000.0,19,24,12629.0,9.791666666666666,12.368421052631579,0.8394648829431439,0.9208333333333333,0.8322921672272945,Medium,Low
79,3,122.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,19,24,14869.0,9.791666666666666,12.368421052631579,0.8394648829431439,0.9208333333333333,0.8322921672272945,Medium,Low
80,3,122.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,19,24,14489.0,9.791666666666666,12.368421052631579,0.8394648829431439,0.9208333333333333,0.8322921672272945,Medium,Low
81,1,125.0,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32,6989.0,7.34375,9.4,0.8628762541806021,0.9083333333333334,0.8284478616049976,Low,Low
82,1,125.0,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32,8189.0,7.34375,9.4,0.8628762541806021,0.9083333333333334,0.8284478616049976,Low,Low
83,1,125.0,mitsubishi,gas,turbo,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9279.0,7.833333333333333,10.217391304347826,0.8628762541806021,0.9083333333333334,0.8284478616049976,Low,Low
84,-1,137.0,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9279.0,7.833333333333333,10.217391304347826,0.8628762541806021,0.9083333333333334,0.8284478616049976,Low,Low
85,1,128.0,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,5499.0,6.351351351351352,7.580645161290323,0.911371237458194,0.8861111111111111,0.794329649207112,Low,Low
86,1,128.0,nissan,diesel,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,2017,ohc,four,103,idi,2.99,3.47,21.9,55.0,4800.0,45,50,7099.0,4.7,5.222222222222222,0.911371237458194,0.8861111111111111,0.794329649207112,Low,Low
87,1,128.0,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,6649.0,6.351351351351352,7.580645161290323,0.911371237458194,0.8861111111111111,0.794329649207112,Low,Low
88,1,122.0,nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,6849.0,6.351351351351352,7.580645161290323,0.911371237458194,0.8861111111111111,0.794329649207112,Low,Low
89,1,103.0,nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7349.0,6.351351351351352,7.580645161290323,0.8946488294314382,0.8861111111111111,0.8178760211436809,Low,Low
90,1,128.0,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7299.0,6.351351351351352,7.580645161290323,0.911371237458194,0.8861111111111111,0.794329649207112,Low,Low
91,1,128.0,nissan,gas,std,two,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7799.0,6.351351351351352,7.580645161290323,0.8913043478260869,0.8861111111111111,0.7957712638154734,Low,Low
92,1,122.0,nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7499.0,6.351351351351352,7.580645161290323,0.911371237458194,0.8861111111111111,0.794329649207112,Low,Low
93,1,103.0,nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7999.0,6.351351351351352,7.580645161290323,0.8946488294314382,0.8861111111111111,0.8178760211436809,Low,Low
94,2,168.0,nissan,gas,std,two,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,8249.0,6.351351351351352,7.580645161290323,0.8913043478260869,0.8861111111111111,0.7803940413262855,Low,Low
95,0,106.0,nissan,gas,std,four,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,27,34,8949.0,6.911764705882353,8.703703703703704,0.9147157190635452,0.9055555555555556,0.8332532436328689,Low,Low
96,0,106.0,nissan,gas,std,four,sedan,fwd,front,97.2,173.4,65.2,54.7,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,27,34,9549.0,6.911764705882353,8.703703703703704,0.9147157190635452,0.9055555555555556,0.8332532436328689,Low,Low
